MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,83500250000.0,Dummy,Dummy_Function,Spacer,83500250000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,2296000000.0,Outlay,Other,Real,85796250000.0,1.0,-6.0,2296000000.0,2296000000.0,0.0,85796250000.0,83500250000.0,0.002472623156634775,85589785348.26521,83293785348.26521
Max,98,18555611111.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,20851611111.0,20851611111.0,2296000000.0,85796250000.0,85796250000.0,0.002472623156634775,85635666381.98378,85589785348.26521
Max,98,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,95271250000.0,3.0,-6.0,30326611111.0,30326611111.0,20851611111.0,95271250000.0,85796250000.0,0.002472623156634775,95110666381.98378,85635666381.98378
Max,98,18555611111.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,48882222222.0,48882222222.0,30326611111.0,95271250000.0,95271250000.0,0.002472623156634775,95156547415.70235,95110666381.98378
Max,98,9805000000.0,Outlay,Transportation,Real,105076250000.0,5.0,-6.0,58687222222.0,58687222222.0,48882222222.0,105076250000.0,95271250000.0,0.002472623156634775,104961547415.70235,95156547415.70235
Max,98,18555611111.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,77242833333.0,77242833333.0,58687222222.0,105076250000.0,105076250000.0,0.002472623156634775,105007428449.42091,104961547415.70235
Max,98,15417000000.0,Outlay,Veterans Benefits and Services,Real,120493250000.0,7.0,-6.0,92659833333.0,92659833333.0,77242833333.0,120493250000.0,105076250000.0,0.002472623156634775,120424428449.42091,105007428449.42091
Max,98,18555611111.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,111215444444.0,111215444444.0,92659833333.0,120493250000.0,120493250000.0,0.002472623156634775,120470309483.13948,120424428449.42091
Max,98,25260000000.0,Outlay,Net Interest,Real,145753250000.0,9.0,-6.0,136475444444.0,136475444444.0,111215444444.0,145753250000.0,120493250000.0,0.002472623156634775,145730309483.13947,120470309483.13948
Max,98,18555611111.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,155031055555.0,155031055555.0,136475444444.0,145753250000.0,145753250000.0,0.002472623156634775,145776190516.85806,145730309483.13947
Max,98,35447000000.0,Outlay,Income Security,Real,181200250000.0,11.0,-6.0,190478055555.0,190478055555.0,155031055555.0,181200250000.0,145753250000.0,0.002472623156634775,181223190516.85806,145776190516.85806
Max,98,18555611111.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,209033666666.0,209033666666.0,190478055555.0,181200250000.0,181200250000.0,0.002472623156634775,181269071550.57663,181223190516.85806
Max,98,49302000000.0,Outlay,Health,Real,230502250000.0,13.0,-6.0,258335666666.0,258335666666.0,209033666666.0,230502250000.0,181200250000.0,0.002472623156634775,230571071550.57663,181269071550.57663
Max,98,18555611111.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,276891277777.0,276891277777.0,258335666666.0,230502250000.0,230502250000.0,0.002472623156634775,230616952584.2952,230571071550.57663
Max,98,51993000000.0,Outlay,National Defense,Real,282495250000.0,15.0,-6.0,328884277777.0,328884277777.0,276891277777.0,282495250000.0,230502250000.0,0.002472623156634775,282609952584.29517,230616952584.2952
Max,98,18555611111.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,347439888888.0,347439888888.0,328884277777.0,282495250000.0,282495250000.0,0.002472623156634775,282655833618.01373,282609952584.29517
Max,98,55843000000.0,Outlay,Medicare,Real,338338250000.0,17.0,-6.0,403282888888.0,403282888888.0,347439888888.0,338338250000.0,282495250000.0,0.002472623156634775,338498833618.01373,282655833618.01373
Max,98,18555611111.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,421838499999.0,421838499999.0,403282888888.0,338338250000.0,338338250000.0,0.002472623156634775,338544714651.7323,338498833618.01373
Max,98,79163000000.0,Outlay,Social Security,Real,417501250000.0,19.0,-6.0,501001499999.0,501001499999.0,421838499999.0,417501250000.0,338338250000.0,0.002472623156634775,417707714651.7323,338544714651.7323
Min,1,83500250000.0,Dummy,Dummy_Function,Spacer,83500250000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,2296000000.0,Outlay,Other,Real,85796250000.0,1.0,-6.0,2296000000.0,2296000000.0,0.0,85796250000.0,83500250000.0,0.002472623156634775,85589785348.26521,83293785348.26521
Min,1,18555611111.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,20851611111.0,20851611111.0,2296000000.0,85796250000.0,85796250000.0,0.002472623156634775,85635666381.98378,85589785348.26521
Min,1,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,95271250000.0,3.0,-6.0,30326611111.0,30326611111.0,20851611111.0,95271250000.0,85796250000.0,0.002472623156634775,95110666381.98378,85635666381.98378
Min,1,18555611111.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,48882222222.0,48882222222.0,30326611111.0,95271250000.0,95271250000.0,0.002472623156634775,95156547415.70235,95110666381.98378
Min,1,9805000000.0,Outlay,Transportation,Real,105076250000.0,5.0,-6.0,58687222222.0,58687222222.0,48882222222.0,105076250000.0,95271250000.0,0.002472623156634775,104961547415.70235,95156547415.70235
Min,1,18555611111.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,77242833333.0,77242833333.0,58687222222.0,105076250000.0,105076250000.0,0.002472623156634775,105007428449.42091,104961547415.70235
Min,1,15417000000.0,Outlay,Veterans Benefits and Services,Real,120493250000.0,7.0,-6.0,92659833333.0,92659833333.0,77242833333.0,120493250000.0,105076250000.0,0.002472623156634775,120424428449.42091,105007428449.42091
Min,1,18555611111.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,111215444444.0,111215444444.0,92659833333.0,120493250000.0,120493250000.0,0.002472623156634775,120470309483.13948,120424428449.42091
Min,1,25260000000.0,Outlay,Net Interest,Real,145753250000.0,9.0,-6.0,136475444444.0,136475444444.0,111215444444.0,145753250000.0,120493250000.0,0.002472623156634775,145730309483.13947,120470309483.13948
Min,1,18555611111.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,155031055555.0,155031055555.0,136475444444.0,145753250000.0,145753250000.0,0.002472623156634775,145776190516.85806,145730309483.13947
Min,1,35447000000.0,Outlay,Income Security,Real,181200250000.0,11.0,-6.0,190478055555.0,190478055555.0,155031055555.0,181200250000.0,145753250000.0,0.002472623156634775,181223190516.85806,145776190516.85806
Min,1,18555611111.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,209033666666.0,209033666666.0,190478055555.0,181200250000.0,181200250000.0,0.002472623156634775,181269071550.57663,181223190516.85806
Min,1,49302000000.0,Outlay,Health,Real,230502250000.0,13.0,-6.0,258335666666.0,258335666666.0,209033666666.0,230502250000.0,181200250000.0,0.002472623156634775,230571071550.57663,181269071550.57663
Min,1,18555611111.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,276891277777.0,276891277777.0,258335666666.0,230502250000.0,230502250000.0,0.002472623156634775,230616952584.2952,230571071550.57663
Min,1,51993000000.0,Outlay,National Defense,Real,282495250000.0,15.0,-6.0,328884277777.0,328884277777.0,276891277777.0,282495250000.0,230502250000.0,0.002472623156634775,282609952584.29517,230616952584.2952
Min,1,18555611111.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,347439888888.0,347439888888.0,328884277777.0,282495250000.0,282495250000.0,0.002472623156634775,282655833618.01373,282609952584.29517
Min,1,55843000000.0,Outlay,Medicare,Real,338338250000.0,17.0,-6.0,403282888888.0,403282888888.0,347439888888.0,338338250000.0,282495250000.0,0.002472623156634775,338498833618.01373,282655833618.01373
Min,1,18555611111.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,421838499999.0,421838499999.0,403282888888.0,338338250000.0,338338250000.0,0.002472623156634775,338544714651.7323,338498833618.01373
Min,1,79163000000.0,Outlay,Social Security,Real,417501250000.0,19.0,-6.0,501001499999.0,501001499999.0,421838499999.0,417501250000.0,338338250000.0,0.002472623156634775,417707714651.7323,338544714651.7323
Max,97,83500250000.0,Dummy,Dummy_Function,Spacer,83500250000.0,0.0,-5.75,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Max,97,2296000000.0,Outlay,Other,Real,85796250000.0,1.0,-5.75,2296000000.0,2296000000.0,0.0,85796250000.0,83500250000.0,0.0031726828424851906,85531330189.48178,83235330189.48178
Max,97,18555611111.0,Outlay,Spacer 2,Spacer,,2.0,-5.75,20851611111.0,20851611111.0,2296000000.0,85796250000.0,85796250000.0,0.0031726828424851906,85590201258.48547,85531330189.48178
Max,97,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,95271250000.0,3.0,-5.75,30326611111.0,30326611111.0,20851611111.0,95271250000.0,85796250000.0,0.0031726828424851906,95065201258.48547,85590201258.48547
