source_func,amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
Individual Income Taxes,109306.0,1421997.0,1386447.0,2017,08,True,False,Individual Income Taxes
Corporation Income Taxes,1337.0,233631.0,233079.0,2017,08,True,False,Corporation Income Taxes
Employment and General Retirement,84894.0,1016469.0,969824.0,2017,08,True,False,Social Insurance and Retirement Receipts
Unemployment Insurance,4217.0,45424.0,48366.0,2017,08,True,False,Social Insurance and Retirement Receipts
Other Retirement,363.0,3859.0,3588.0,2017,08,True,False,Social Insurance and Retirement Receipts
Excise Taxes,7416.0,72603.0,72480.0,2017,08,True,False,Excise Taxes
Estate and Gift Taxes,1765.0,21172.0,19875.0,2017,08,True,False,Estate and Gift Taxes
Customs Duties,2947.0,31374.0,31692.0,2017,08,True,False,Customs Duties
Miscellaneous Receipts,14067.0,119643.0,144801.0,2017,08,True,False,Miscellaneous Receipts
Total,226311.0,2966172.0,2910151.0,2017,08,True,False,Total
National Defense,51993.0,543107.0,535011.0,2017,08,False,True,National Defense
International Affairs,2150.0,39027.0,37461.0,2017,08,False,True,International Affairs
"General Science, Space, and Technology",2824.0,27744.0,27422.0,2017,08,False,True,"General Science, Space, and Technology"
Energy,-158.0,3201.0,2557.0,2017,08,False,True,Energy
Natural Resources and Environment,3723.0,32707.0,34017.0,2017,08,False,True,Natural Resources and Environment
Agriculture,360.0,22861.0,22348.0,2017,08,False,True,Agriculture
Commerce and Housing Credit,-6610.0,-13205.0,-22335.0,2017,08,False,True,Commerce and Housing Credit
Transportation,9805.0,84211.0,82010.0,2017,08,False,True,Transportation
Community and Regional Development,1955.0,20892.0,18577.0,2017,08,False,True,Community and Regional Development
"Education, Training, Employment, and Social Services",9475.0,129838.0,99573.0,2017,08,False,True,"Education, Training, Employment, and Social Services"
Health,49302.0,485645.0,465843.0,2017,08,False,True,Health
Medicare,55843.0,519568.0,525443.0,2017,08,False,True,Medicare
Income Security,35447.0,462592.0,471564.0,2017,08,False,True,Income Security
Social Security,79163.0,865310.0,839299.0,2017,08,False,True,Social Security
Veterans Benefits and Services,15417.0,154043.0,153241.0,2017,08,False,True,Veterans Benefits and Services
Administration of Justice,4648.0,53926.0,52076.0,2017,08,False,True,Administration of Justice
General Government,1571.0,17768.0,16427.0,2017,08,False,True,General Government
Net Interest,25260.0,274563.0,257688.0,2017,08,False,True,Net Interest
Undistributed Offsetting Receipts,-8167.0,-83915.0,-88980.0,2017,08,False,True,Undistributed Offsetting Receipts
Total,334000.0,3639882.0,3529243.0,2017,08,False,True,Total
deficit for the month,107689.0,0.0,0.0,2017,08,False,False,Deficit
deficit fytd,0.0,673710.0,0.0,2017,08,False,False,Deficit
