fy,month,receipt_amount_M,date,receipt_amount,source_func_parent,total_R_month
2016,1,181230.0,1-2016,181230000000.0,Individual Income Taxes,313579000000.0
2016,1,7194.0,1-2016,7194000000.0,Corporation Income Taxes,313579000000.0
2016,1,99198.0,1-2016,99198000000.0,Social Insurance and Retirement Receipts,313579000000.0
2016,1,2214.0,1-2016,2214000000.0,Social Insurance and Retirement Receipts,313579000000.0
2016,1,298.0,1-2016,298000000.0,Social Insurance and Retirement Receipts,313579000000.0
2016,1,6122.0,1-2016,6122000000.0,Excise Taxes,313579000000.0
2016,1,1270.0,1-2016,1270000000.0,Estate and Gift Taxes,313579000000.0
2016,1,3047.0,1-2016,3047000000.0,Customs Duties,313579000000.0
2016,1,13005.0,1-2016,13005000000.0,Miscellaneous Receipts,313579000000.0
2016,1,313579.0,1-2016,313579000000.0,Total,313579000000.0
2016,12,139537.0,12-2016,139537000000.0,Individual Income Taxes,319204000000.0
2016,12,72811.0,12-2016,72811000000.0,Corporation Income Taxes,319204000000.0
2016,12,86421.0,12-2016,86421000000.0,Social Insurance and Retirement Receipts,319204000000.0
2016,12,375.0,12-2016,375000000.0,Social Insurance and Retirement Receipts,319204000000.0
2016,12,399.0,12-2016,399000000.0,Social Insurance and Retirement Receipts,319204000000.0
2016,12,6438.0,12-2016,6438000000.0,Excise Taxes,319204000000.0
2016,12,1931.0,12-2016,1931000000.0,Estate and Gift Taxes,319204000000.0
2016,12,2846.0,12-2016,2846000000.0,Customs Duties,319204000000.0
2016,12,8446.0,12-2016,8446000000.0,Miscellaneous Receipts,319204000000.0
2016,12,319204.0,12-2016,319204000000.0,Total,319204000000.0
2016,11,91724.0,11-2016,91724000000.0,Individual Income Taxes,199875000000.0
2016,11,643.0,11-2016,643000000.0,Corporation Income Taxes,199875000000.0
2016,11,81855.0,11-2016,81855000000.0,Social Insurance and Retirement Receipts,199875000000.0
2016,11,3401.0,11-2016,3401000000.0,Social Insurance and Retirement Receipts,199875000000.0
2016,11,321.0,11-2016,321000000.0,Social Insurance and Retirement Receipts,199875000000.0
2016,11,7231.0,11-2016,7231000000.0,Excise Taxes,199875000000.0
2016,11,1550.0,11-2016,1550000000.0,Estate and Gift Taxes,199875000000.0
2016,11,2897.0,11-2016,2897000000.0,Customs Duties,199875000000.0
2016,11,10255.0,11-2016,10255000000.0,Miscellaneous Receipts,199875000000.0
2016,11,199875.0,11-2016,199875000000.0,Total,199875000000.0
2016,10,121576.0,10-2016,121576000000.0,Individual Income Taxes,221692000000.0
2016,10,2277.0,10-2016,2277000000.0,Corporation Income Taxes,221692000000.0
2016,10,76312.0,10-2016,76312000000.0,Social Insurance and Retirement Receipts,221692000000.0
2016,10,2723.0,10-2016,2723000000.0,Social Insurance and Retirement Receipts,221692000000.0
2016,10,326.0,10-2016,326000000.0,Social Insurance and Retirement Receipts,221692000000.0
2016,10,5707.0,10-2016,5707000000.0,Excise Taxes,221692000000.0
2016,10,1326.0,10-2016,1326000000.0,Estate and Gift Taxes,221692000000.0
2016,10,3069.0,10-2016,3069000000.0,Customs Duties,221692000000.0
2016,10,8376.0,10-2016,8376000000.0,Miscellaneous Receipts,221692000000.0
2016,10,221692.0,10-2016,221692000000.0,Total,221692000000.0
2016,9,159628.0,9-2016,159628000000.0,Individual Income Taxes,356537000000.0
2016,9,66492.0,9-2016,66492000000.0,Corporation Income Taxes,356537000000.0
2016,9,92481.0,9-2016,92481000000.0,Social Insurance and Retirement Receipts,356537000000.0
2016,9,487.0,9-2016,487000000.0,Social Insurance and Retirement Receipts,356537000000.0
2016,9,317.0,9-2016,317000000.0,Social Insurance and Retirement Receipts,356537000000.0
2016,9,22566.0,9-2016,22566000000.0,Excise Taxes,356537000000.0
2016,9,1479.0,9-2016,1479000000.0,Estate and Gift Taxes,356537000000.0
2016,9,3145.0,9-2016,3145000000.0,Customs Duties,356537000000.0
2016,9,9942.0,9-2016,9942000000.0,Miscellaneous Receipts,356537000000.0
2016,9,356537.0,9-2016,356537000000.0,Total,356537000000.0
2016,8,114957.0,8-2016,114957000000.0,Individual Income Taxes,231327000000.0
2016,8,1137.0,8-2016,1137000000.0,Corporation Income Taxes,231327000000.0
2016,8,82095.0,8-2016,82095000000.0,Social Insurance and Retirement Receipts,231327000000.0
2016,8,6731.0,8-2016,6731000000.0,Social Insurance and Retirement Receipts,231327000000.0
2016,8,358.0,8-2016,358000000.0,Social Insurance and Retirement Receipts,231327000000.0
2016,8,7448.0,8-2016,7448000000.0,Excise Taxes,231327000000.0
2016,8,1762.0,8-2016,1762000000.0,Estate and Gift Taxes,231327000000.0
2016,8,2953.0,8-2016,2953000000.0,Customs Duties,231327000000.0
2016,8,13886.0,8-2016,13886000000.0,Miscellaneous Receipts,231327000000.0
2016,8,231327.0,8-2016,231327000000.0,Total,231327000000.0
2016,7,99867.0,7-2016,99867000000.0,Individual Income Taxes,209998000000.0
2016,7,8554.0,7-2016,8554000000.0,Corporation Income Taxes,209998000000.0
2016,7,80169.0,7-2016,80169000000.0,Social Insurance and Retirement Receipts,209998000000.0
2016,7,1865.0,7-2016,1865000000.0,Social Insurance and Retirement Receipts,209998000000.0
2016,7,376.0,7-2016,376000000.0,Social Insurance and Retirement Receipts,209998000000.0
2016,7,6077.0,7-2016,6077000000.0,Excise Taxes,209998000000.0
2016,7,1571.0,7-2016,1571000000.0,Estate and Gift Taxes,209998000000.0
2016,7,3059.0,7-2016,3059000000.0,Customs Duties,209998000000.0
2016,7,8461.0,7-2016,8461000000.0,Miscellaneous Receipts,209998000000.0
2016,7,209998.0,7-2016,209998000000.0,Total,209998000000.0
2017,6,150546.0,6-2017,150546000000.0,Individual Income Taxes,338660000000.0
2017,6,57371.0,6-2017,57371000000.0,Corporation Income Taxes,338660000000.0
